CLNT_ID;CLNT_NAME;SERVICE;SUBSERVICE;FREQ MHz;STN_NAME;STN_ADDR;SID_LONG;SID_LAT;AREA_OF_SERVICE;CITY;DISTRICT;PROVINCE
2073;LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA;Broadcast;DVB-T;674;TAREMPA;JL. PASIR MERAH KEL. TAREMPA;106,22335;3,22335;TEREMPA;KEPULAUAN ANAMBAS;SIANTAN;KEPULAUAN RIAU
113156;SURYA CITRA PESONA MEDIA, PT.;Broadcast;DVB-T;642;MUX SCTV BATAM;JL. TENGGIRI - BUKIT GIRANG, KEL. BATU MERAH;104,0133333;1,17916667;KEPULAUAN RIAU - 1;KOTA BATAM;BATU AMPAR;KEPULAUAN RIAU
2073;LEMBAGA PENYIARAN PUBLIK TELEVISI REPUBLIK INDONESIA;Broadcast;DVB-T;687,25;TVRI BATAM;JL. PALAPA VIII BUKIT DANGAS.;103,9455556;1,12333333;BATAM DAN TANJUNG BALAI.;KOTA BATAM;SEKUPANG;KEPULAUAN RIAU
112194;TRANS TV BATAM KENDARI, PT.;Broadcast;DVB-T;674;TRANS TV BATAM;JL. PALAPA 7 BUKIT DANGAS SEKUPANG, KEL. TANJUNG PINGGIR;103,9455278;1,12297222;KEPULAUAN RIAU - 1;KOTA BATAM;SEKUPANG;KEPULAUAN RIAU
113156;SURYA CITRA PESONA MEDIA, PT.;Broadcast;DVB-T;642;MUX SCTV TANJUNG PINANG;JL. KAMPUNG SUNGAI LADI RT2 RW3, KEL. KAMPUNG BUGIS;104,4608361;0,95084167;KEPULAUAN RIAU - 1;KOTA TANJUNG PINANG;TANJUNG PINANG KOTA;KEPULAUAN RIAU
105175;LPPL RADIO BINTAN;Broadcast;FM;96,5;BINTAN RADIO;JL. RAYA TANJUNGPINANG -TG. UBAN KM. 42, KEL. BINTAN BUYU, KEC. TELUK BINTAN, KAB. BINTAN, KEPULAUAN RIAU;104,5127778;0,99722222;KOTA TANJUNG PINANG;BINTAN;TELUK BINTAN;KEPULAUAN RIAU
103742;LPPL RADIO SIARAN DAERAH KABUPATEN KARIMUN;Broadcast;FM;105,3;CANGGAI PUTRI FM;JL. PERTAMBANGAN No. 8 GEDUNG DISPENDA Lt.3 TG. BALAI KARIMUN;103,4353611;1,00594167;KARIMUN;KARIMUN;KARIMUN;KEPULAUAN RIAU
104493;RADIO AZAM MITRA UMAT, PT.;Broadcast;FM;103,5;AZAM FM;JL. ANGKASA, TANJUNG BALAI, KARIMUN, KARIMUN, KEPULAUAN RIAU;103,4293028;0,99623056;KARIMUN, KAB. KARIMUN;KARIMUN;TJ. BALAI KARIMUN;KEPULAUAN RIAU
114928;RADIO ANAMBAS BERTUAH, PT.;Broadcast;FM;91,3;Senandung 100.2 FM;"Jl. Tanjung Lambai Desa Sri Tanjung; Tarempa, Kabupaten Kepulauan anambas: KEPRI";106,2161111;3,21694444;TEREMPA;KEPULAUAN ANAMBAS;SIANTAN;KEPULAUAN RIAU
1035;DIREKTORAT RADIO/ RRI;Broadcast;FM;97,5;STASIUN PEMANCAR RELAY RRI TAREMPA;JL. PASIR MERAH;106,2177944;3,21772778;TAREMPA;KEPULAUAN ANAMBAS;SIANTAN;KEPULAUAN RIAU
105147;RADIO SUARA MARGA SEMESTA, PT.;Broadcast;FM;106,5;SING FM;Jl. RAJA ALI HAJI, PLANET HOLIDAY HOTEL Lt. 20, SEI JODOH BATAM;104,0246111;1,15286111;KOTA BATAM;KOTA BATAM;BATAM;KEPULAUAN RIAU
101564;RADIO BATAM INDAH GELORA SUARA, PT (BIGS FM), PT.;Broadcast;FM;104,7;BIGS FM;KOMP. BADAR MAS BLOK F NO. 3A BATAM CENTRE BATAM;104,03;1,1125;KOTA BATAM;KOTA BATAM;BATAM KOTA;KEPULAUAN RIAU
102723;RADIO ARTHA MEDIA JUANESHA, PT.;Broadcast;FM;103,2;JUAN FM;JL. LAKSAMANA BINTAN, KOMPLEK PERTOKOAN SERUNI, BLOK A NO. 25, SEI PANAS;104,0247194;1,13333333;KOTA BATAM;KOTA BATAM;BATAM KOTA;KEPULAUAN RIAU
102731;RADIO MEDIA HANG BATAM, PT.;Broadcast;FM;106;RADIO HANG FM;JL. BOROBUDUR - BUKIT SENYUM, KEL. SERAYA;104,0125;1,15722222;KOTA BATAM;KOTA BATAM;BATU AMPAR;KEPULAUAN RIAU
101232;RADIO DISCOVERY MINANG, PT.;Broadcast;FM;87,6;DISCOVERY MINANG;Komplek Bengkong Aljabar Blok. A No.2;104,0241667;1,14916667;KOTA BATAM;KOTA BATAM;BENGKONG;KEPULAUAN RIAU
101522;RADIO ALJABAR, PT;Broadcast;FM;91,7;Serumpun Radio;Komp. Ruko Aljabar Blok C No.1 Kel. Bengkong Indah, Kec Bengkong, Kota Batam, Kep. Riau 29432;104,0252778;1,15;KOTA BATAM;KOTA BATAM;BENGKONG;KEPULAUAN RIAU
